timestamp,open,high,low,close,volume
1704067200000,45000.0,45200.0,44800.0,45100.0,100.5
1704070800000,45100.0,45300.0,44900.0,45200.0,120.3
1704074400000,45200.0,45500.0,45100.0,45400.0,110.7
1704078000000,45400.0,45600.0,45200.0,45500.0,130.2
1704081600000,45500.0,45700.0,45300.0,45600.0,140.8
1704085200000,45600.0,45800.0,45400.0,45700.0,125.6
1704088800000,45700.0,45900.0,45500.0,45800.0,135.4
1704092400000,45800.0,46000.0,45600.0,45900.0,145.9
1704096000000,45900.0,46100.0,45700.0,46000.0,150.1
1704099600000,46000.0,46200.0,45800.0,46100.0,160.3
1704103200000,46100.0,46300.0,45900.0,46200.0,155.7
1704106800000,46200.0,46400.0,46000.0,46300.0,165.2
1704110400000,46300.0,46500.0,46100.0,46400.0,170.5
1704114000000,46400.0,46600.0,46200.0,46500.0,175.8
1704117600000,46500.0,46700.0,46300.0,46600.0,180.3
1704121200000,46600.0,46800.0,46400.0,46700.0,185.6
1704124800000,46700.0,46900.0,46500.0,46800.0,190.4
1704128400000,46800.0,47000.0,46600.0,46900.0,195.7
1704132000000,46900.0,47100.0,46700.0,47000.0,200.2
1704135600000,47000.0,47200.0,46800.0,47100.0,205.5
1704139200000,47100.0,47300.0,46900.0,47200.0,210.8
1704142800000,47200.0,47400.0,47000.0,47300.0,215.3
1704146400000,47300.0,47500.0,47100.0,47400.0,220.6
1704150000000,47400.0,47600.0,47200.0,47500.0,225.9
1704153600000,47500.0,47700.0,47300.0,47600.0,230.4
1704157200000,47600.0,47800.0,47400.0,47700.0,235.7
1704160800000,47700.0,47900.0,47500.0,47800.0,240.2
1704164400000,47800.0,48000.0,47600.0,47900.0,245.5
1704168000000,47900.0,48100.0,47700.0,48000.0,250.8
1704171600000,48000.0,48200.0,47800.0,48100.0,255.3
1704175200000,48100.0,48300.0,47900.0,48200.0,260.6
1704178800000,48200.0,48400.0,48000.0,48300.0,265.9
1704182400000,48300.0,48500.0,48100.0,48400.0,270.4
1704186000000,48400.0,48600.0,48200.0,48500.0,275.7
1704189600000,48500.0,48700.0,48300.0,48600.0,280.2
1704193200000,48600.0,48800.0,48400.0,48700.0,285.5
1704196800000,48700.0,48900.0,48500.0,48800.0,290.8
1704200400000,48800.0,49000.0,48600.0,48900.0,295.3
1704204000000,48900.0,49100.0,48700.0,49000.0,300.6
1704207600000,49000.0,49200.0,48800.0,49100.0,305.9
1704211200000,49100.0,49300.0,48900.0,49200.0,310.4
1704214800000,49200.0,49400.0,49000.0,49300.0,315.7
1704218400000,49300.0,49500.0,49100.0,49400.0,320.2
1704222000000,49400.0,49600.0,49200.0,49500.0,325.5
1704225600000,49500.0,49700.0,49300.0,49600.0,330.8
1704229200000,49600.0,49800.0,49400.0,49700.0,335.3
1704232800000,49700.0,49900.0,49500.0,49800.0,340.6
1704236400000,49800.0,50000.0,49600.0,49900.0,345.9
1704240000000,49900.0,50100.0,49700.0,50000.0,350.4
1704243600000,50000.0,50200.0,49800.0,50100.0,355.7
1704247200000,50100.0,50300.0,49900.0,50200.0,360.2
1704250800000,50200.0,50400.0,50000.0,50300.0,365.5
1704254400000,50300.0,50500.0,50100.0,50400.0,370.8
1704258000000,50400.0,50600.0,50200.0,50500.0,375.3
1704261600000,50500.0,50700.0,50300.0,50600.0,380.6
1704265200000,50600.0,50800.0,50400.0,50700.0,385.9
1704268800000,50700.0,50900.0,50500.0,50800.0,390.4
1704272400000,50800.0,51000.0,50600.0,50900.0,395.7
1704276000000,50900.0,51100.0,50700.0,51000.0,400.2
1704279600000,51000.0,51200.0,50800.0,51100.0,405.5
1704283200000,51100.0,51300.0,50900.0,51200.0,410.8
1704286800000,51200.0,51400.0,51000.0,51300.0,415.3
1704290400000,51300.0,51500.0,51100.0,51400.0,420.6
1704294000000,51400.0,51600.0,51200.0,51500.0,425.9
1704297600000,51500.0,51700.0,51300.0,51600.0,430.4
1704301200000,51600.0,51800.0,51400.0,51700.0,435.7
1704304800000,51700.0,51900.0,51500.0,51800.0,440.2
1704308400000,51800.0,52000.0,51600.0,51900.0,445.5
1704312000000,51900.0,52100.0,51700.0,52000.0,450.8
1704315600000,52000.0,52200.0,51800.0,52100.0,455.3
1704319200000,52100.0,52300.0,51900.0,52200.0,460.6
1704322800000,52200.0,52400.0,52000.0,52300.0,465.9
1704326400000,52300.0,52500.0,52100.0,52400.0,470.4
1704330000000,52400.0,52600.0,52200.0,52500.0,475.7
1704333600000,52500.0,52700.0,52300.0,52600.0,480.2
1704337200000,52600.0,52800.0,52400.0,52700.0,485.5
1704340800000,52700.0,52900.0,52500.0,52800.0,490.8
1704344400000,52800.0,53000.0,52600.0,52900.0,495.3
1704348000000,52900.0,53100.0,52700.0,53000.0,500.6
1704351600000,53000.0,53200.0,52800.0,53100.0,505.9
1704355200000,53100.0,53300.0,52900.0,53200.0,510.4
1704358800000,53200.0,53400.0,53000.0,53300.0,515.7
1704362400000,53300.0,53500.0,53100.0,53400.0,520.2
1704366000000,53400.0,53600.0,53200.0,53500.0,525.5
1704369600000,53500.0,53700.0,53300.0,53600.0,530.8
1704373200000,53600.0,53800.0,53400.0,53700.0,535.3
1704376800000,53700.0,53900.0,53500.0,53800.0,540.6
1704380400000,53800.0,54000.0,53600.0,53900.0,545.9
1704384000000,53900.0,54100.0,53700.0,54000.0,550.4
1704387600000,54000.0,54200.0,53800.0,54100.0,555.7
1704391200000,54100.0,54300.0,53900.0,54200.0,560.2
1704394800000,54200.0,54400.0,54000.0,54300.0,565.5
1704398400000,54300.0,54500.0,54100.0,54400.0,570.8
1704402000000,54400.0,54600.0,54200.0,54500.0,575.3
1704405600000,54500.0,54700.0,54300.0,54600.0,580.6
1704409200000,54600.0,54800.0,54400.0,54700.0,585.9
1704412800000,54700.0,54900.0,54500.0,54800.0,590.4
1704416400000,54800.0,55000.0,54600.0,54900.0,595.7
1704420000000,54900.0,55100.0,54700.0,55000.0,600.2
1704423600000,55000.0,55200.0,54800.0,55100.0,605.5
1704427200000,55100.0,55300.0,54900.0,55200.0,610.8
1704430800000,55200.0,55400.0,55000.0,55300.0,615.3
1704434400000,55300.0,55500.0,55100.0,55400.0,620.6
1704438000000,55400.0,55600.0,55200.0,55500.0,625.9
1704441600000,55500.0,55700.0,55300.0,55600.0,630.4
1704445200000,55600.0,55800.0,55400.0,55700.0,635.7
1704448800000,55700.0,55900.0,55500.0,55800.0,640.2
1704452400000,55800.0,56000.0,55600.0,55900.0,645.5
1704456000000,55900.0,56100.0,55700.0,56000.0,650.8
1704459600000,56000.0,56200.0,55800.0,56100.0,655.3
1704463200000,56100.0,56300.0,55900.0,56200.0,660.6
1704466800000,56200.0,56400.0,56000.0,56300.0,665.9
1704470400000,56300.0,56500.0,56100.0,56400.0,670.4
1704474000000,56400.0,56600.0,56200.0,56500.0,675.7
1704477600000,56500.0,56700.0,56300.0,56600.0,680.2
1704481200000,56600.0,56800.0,56400.0,56700.0,685.5
1704484800000,56700.0,56900.0,56500.0,56800.0,690.8
1704488400000,56800.0,57000.0,56600.0,56900.0,695.3
1704492000000,56900.0,57100.0,56700.0,57000.0,700.6
1704495600000,57000.0,57200.0,56800.0,57100.0,705.9
1704499200000,57100.0,57300.0,56900.0,57200.0,710.4
1704502800000,57200.0,57400.0,57000.0,57300.0,715.7
1704506400000,57300.0,57500.0,57100.0,57400.0,720.2
1704510000000,57400.0,57600.0,57200.0,57500.0,725.5
1704513600000,57500.0,57700.0,57300.0,57600.0,730.8
1704517200000,57600.0,57800.0,57400.0,57700.0,735.3
1704520800000,57700.0,57900.0,57500.0,57800.0,740.6
1704524400000,57800.0,58000.0,57600.0,57900.0,745.9
1704528000000,57900.0,58100.0,57700.0,58000.0,750.4
1704531600000,58000.0,58200.0,57800.0,58100.0,755.7
1704535200000,58100.0,58300.0,57900.0,58200.0,760.2
1704538800000,58200.0,58400.0,58000.0,58300.0,765.5
1704542400000,58300.0,58500.0,58100.0,58400.0,770.8
1704546000000,58400.0,58600.0,58200.0,58500.0,775.3
170
